TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Predicted RV Semi-amplitude (m/s),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,Rp/R* (derived),needs_a_over_rstar,needs_inclination,needs_eccentricity
266980320,118.01,,2,5,5,4,4,2,4,15.5,105.9,18.15,6.5,5,5,7,CP,CP,9.179,0.006,,1,qlp-s68-ffi,SPOC,23:18:14.22,-56:54:14.35,313.918,0.039,-20.177,0.043,2460175.749118,0.0010809,6.0344667,5.9e-06,1.89,0.109,1.956086,0.054389,1800.0,50.0931,4.44029,0.243975,64.2648,788.0,42.0,94.1719,0.2512,5586.0,187.0,4.36763,0.270247,1.05,0.05,,,0.97,0.120939,"1,28,68",2018-09-05,2023-11-15,2025-07-31 12:59:22,HD 219666 b,0.042426406871192854,True,True,True
278683844,119.01,,1,5,5,5,3,1,4,4.5,60.1,4.84,1.9,4,45,1,PC,PC,9.2789,0.006,,1,qlp-s68-ffi,SPOC/QLP,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2460189.428472,0.0008946,5.5411114,4.6e-06,2.467,0.438,0.687489,0.012777,633.0,11.7683,2.04482,0.124447,258.843,1117.0,54.0,66.6187,0.1003,5332.0,184.0,4.56429,0.272717,0.82,0.05,,,0.86,0.102503,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68",2019-05-07,2023-10-16,2025-07-31 12:59:22,Potential multi; slight depth aperture correlation with no offset,0.025159491250818247,True,True,True
278683844,119.02,,4,5,5,5,3,4,4,2.1,40.8,3.89,1.2,4,45,1,PC,PC,9.2789,0.006,,2,qlp-s68-ffi,SPOC/QLP,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2460038.721177,0.0021308,10.6917268,2.12e-05,3.002,0.753,0.581024,0.021827,535.0,20.1029,1.79811,0.116694,42.2657,710.0,36.0,66.6187,0.1003,5332.0,184.0,4.56429,0.272717,0.82,0.05,,,0.86,0.102503,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67",2019-05-17,2023-10-16,2025-07-31 12:59:22,outer candidate in potential multi; variable host,0.023130067012440754,True,True,True
394137592,120.01,,3,5,5,3,4,4,4,79.7,229.1,90.88,26.4,0,22,4,CP,CP,7.1062,0.006,,1,sector-01-spoc-alerts,SPOC,00:17:47.32,-66:21:32.14,64.763,0.049,-5.056,0.041,2458332.082805,0.000707,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90616,28.935114,12.215808,1.480912,,,32.9,79.5702,0.17345,5479.3,57.0,3.77,0.08,2.48771,0.298399,-0.02,0.09,0.96,0.124471,1,2018-09-05,2021-12-07,2025-07-31 12:59:22,HD 1397 b	,0.04888666648484022,True,True,True
231702397,122.01,,2,5,5,2,4,3,4,3.2,66.8,7.46,5.9,11,1,5,CP,CP,13.084,0.007,,1,spoc-s01-s69-b0A-CP,SPOC,22:11:47.58,-58:56:45.91,138.138,0.089,-235.81,0.076,2458329.118988,0.0008659716,5.07803253491997,7.6383885e-06,1.21003530701906,0.27777362,6.450076,0.465919,5923.12830685094,429.03534,2.63477633626804,0.68248564,8.17431386481379,431.253643983621,15.281929,62.118,0.2158,3318.0,64.0,4.9581,0.407256,0.334125012159348,0.0100409,,,0.315858,0.0202514,"1,27,28,67,68",2018-09-05,2024-09-09,2025-07-31 12:59:22,TOI-122 b,0.07696186267789352,True,True,True
290131778,123.01,,3,5,5,5,4,5,3,410.6,671.4,317.0,116.6,3,21,14,CP,CP,7.87598,0.011,,1,qlp-s68-ffi,SPOC/QLP,21:18:47.9,-26:36:58.95,23.236,0.157,-57.557,0.152,2460175.035028,0.0012834,3.3088922,7.1e-06,6.114,0.702,5.154262,2.462493,4736.0,2265.47,24.9862,3.98163,17074.7,3184.0,133.0,161.498,2.4235,6188.0,194.0,4.27166,2.00586,2.62,0.13,,,1.263,0.201024,"1,28,68",2018-09-05,2023-11-15,2025-07-31 12:59:22,HD 202772 A b,0.06881860213634101,True,True,True
52368076,125.01,,1,5,5,5,4,1,2,5.5,56.7,7.65,3.1,15,6,5,CP,CP,10.1985,0.006,,1,qlp-s69-ffi,SPOC/QLP,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2460206.744249,0.0019795,4.6517186,8.3e-06,2.709,0.921,1.06237,0.086613,978.0,79.7705,2.66889,0.203698,540.772,1343.0,26.0,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.85,0.05,,,0.91,0.110203,"1,2,28,68,69",2018-10-19,2023-11-15,2025-07-31 12:59:22,TOI-125 b / TOI 125.01,0.03127299154222378,True,True,True
52368076,125.02,,2,5,5,5,4,4,2,3.2,44.2,7.42,2.4,15,6,5,CP,CP,10.1985,0.006,,2,qlp-s69-ffi,SPOC,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2460202.049893,0.0032682,9.1549418,2.49e-05,2.457,0.341,1.196054,0.065582,1101.0,60.4017,2.62011,0.183373,42.2592,710.0,18.0,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.85,0.05,,,0.91,0.110203,"1,2,28,68,69",2018-10-19,2024-10-02,2025-07-31 12:59:22,TOI-125 c / TOI-125.02,0.03318132004607412,True,True,True
52368076,125.03,,1,5,5,5,4,4,1,1.5,32.8,7.07,1.8,15,6,5,CP,CP,10.1985,0.006,,3,qlp-s69-ffi,SPOC,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2460181.146579,0.0052731,19.9815709,8.96e-05,2.724,0.716,0.987383,0.076907,909.0,70.8314,2.54717,0.192388,16.5853,562.0,10.0,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.85,0.05,,,0.91,0.110203,"1,2,28,68,69",2018-10-19,2023-10-18,2025-07-31 12:59:22,TOI-125 d,0.030149626863362672,True,True,True
52368076,125.04,,3,5,5,3,4,4,4,,,9.14,,15,6,5,PC,PC,10.1985,0.006,,4,spoc-s01-s69-b0A-PC,SPOC,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2460188.729278,0.007986873,0.0,0.0,4.623521076986186,0.6532439,0.802403,0.1348,738.7670156390292,124.14746,2.9700035347110245,0.3969914,11.06618675144672,465.1780869598285,8.09336,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.8522660136222839,0.0497186,,,0.91,0.110203,"1,2,28,68,69",2025-06-05,2025-06-05,2025-07-22 14:39:41,single transit at TBJD  ~ 3188.7,0.02718026886620199,True,True,True
